name,costPrice,sellingPrice,description,um,code,category
"Sparkling Wine - Rose, Freixenet",39711.83,15136.99,"Destruction of Upper Lip, External Approach",kg,S5599,goods
Basil - Fresh,39833.26,15241.81,"Repair Atrial Septum, Percutaneous Approach",kg,Y37131S,goods
Green Scrubbie Pad H.duty,29028.51,31899.81,"Supplement R Low Arm & Wrist Tendon w Autol Sub, Open",kg,S99211D,goods
Wine - Chablis 2003 Champs,37769.97,14541.85,"Replacement of Left Fibula with Synth Sub, Perc Approach",kg,S72351M,goods
"Wine - Magnotta - Red, Baco",1212.21,36460.95,"Insertion of Int Fix into R Scapula, Perc Approach",kg,S52341K,goods
Mushroom - King Eryingii,30344.46,54475.11,"Replacement of Epiglottis with Synthetic Substitute, Endo",kg,T41206D,goods
French Kiss Vanilla,20031.7,45450.35,"Supplement C-thor Jt with Nonaut Sub, Open Approach",kg,S22070,goods
"Bread - Roll, Italian",15323.77,10380.04,"Reposition R Toe Phalanx Jt with Int Fix, Open Approach",kg,S31542S,goods
"Trout - Hot Smkd, Dbl Fillet",21636.85,27171.55,"Destruction of R Up Extrem Lymph, Perc Endo Approach",kg,S31603S,goods
Southern Comfort,25752.14,54719.48,"Drainage of Right External Jugular Vein, Open Approach",kg,O350XX5,goods
"Chocolate - Pistoles, Lactee, Milk",5283.0,5319.73,"Resection of Left Lower Leg Tendon, Perc Endo Approach",kg,S62313K,goods
Anisette - Mcguiness,30760.92,44253.33,"Transfer Glossophar Nrv to Abducen Nrv, Perc Endo Approach",kg,S93691S,goods
Bread - Multigrain Oval,34571.83,10474.04,"Introduce Oth Antineoplastic in Periton Cav, Perc",kg,N492,goods
Wine - Soave Folonari,25615.28,39071.17,"Drainage of Celiac Artery with Drain Dev, Perc Approach",kg,T45626,goods
Bagel - Ched Chs Presliced,42759.52,48703.71,"Insert Mult Array Stim Gen in Chest Subcu/Fascia, Perc",kg,S60511S,goods
Flour Dark Rye,31901.94,41822.22,"Revision of Synth Sub in L Hip Jt, Acetab, Perc Approach",kg,M1A4190,goods
"Nut - Almond, Blanched, Sliced",6716.33,39531.17,Computerized Tomography (CT Scan) of Left Pulmonary Vein,kg,S649,goods
